person_id,name,type,total_votes,average_score,total_numbers
247,Hitomi Nabatame,SHOW,188.0,6.3,1
249,Tomokazu Sugita,MOVIE,22947.0,5.92,5
249,Tomokazu Sugita,SHOW,12727.0,6.7,4
263,Silvia Navarro,MOVIE,6428.0,6.45,2
267,Adrián Uribe,MOVIE,280.0,3.7,1
270,Fabiola Campomanes,SHOW,1073.0,6.8,1
271,Juan Pablo Gil,SHOW,1853.0,6.8,1
273,Minako Kotobuki,MOVIE,56209.0,7.111111111111111,9
273,Minako Kotobuki,SHOW,1186.0,6.8,2
274,Nobunaga Shimazaki,MOVIE,11278.0,6.666666666666667,3
274,Nobunaga Shimazaki,SHOW,16488.0,6.933333333333334,6
275,Tomoaki Maeno,SHOW,3202.0,6.433333333333334,3
276,Yumi Uchiyama,SHOW,3461.0,6.699999999999999,2
282,Emily Neves,SHOW,1808.0,4.5,1
286,Julia Stiles,MOVIE,1392876.0,6.925,4
287,Uriah Shelton,MOVIE,5057.0,5.4,1
288,Corey Johnson,MOVIE,2014138.0,6.9,4
303,Tiffany Hsu,MOVIE,3036.0,6.95,2
303,Tiffany Hsu,SHOW,1945.0,7.233333333333333,3
305,Chris Wang,SHOW,198.0,6.949999999999999,2
306,Armen Weitzman,MOVIE,19070.0,6.45,2
306,Armen Weitzman,SHOW,3616.0,8.3,1
307,Thomas F. Wilson,SHOW,3616.0,8.3,1
308,Bo Burnham,MOVIE,272248.0,7.711111111111112,9
308,Bo Burnham,SHOW,3616.0,8.3,1
309,Kari Coleman,SHOW,3616.0,8.3,1
310,Cameron Palatas,SHOW,3616.0,8.3,1
311,Caitlin Gerard,MOVIE,689364.0,6.65,2
311,Caitlin Gerard,SHOW,3616.0,8.3,1
313,Megumi Toyoguchi,SHOW,13859.0,8.0,2
314,Ayumi Fujimura,MOVIE,4016.0,6.7,1
314,Ayumi Fujimura,SHOW,1479.0,7.05,2
315,Nobuhiko Okamoto,MOVIE,481.0,6.75,2
315,Nobuhiko Okamoto,SHOW,5234.0,7.5,3
318,Jackson Rathbone,MOVIE,4208.0,5.3,2
318,Jackson Rathbone,SHOW,0.0,,1
319,Aimee Teegarden,SHOW,64449.0,8.7,1
321,Tom Hollander,MOVIE,388457.0,6.166666666666667,3
321,Tom Hollander,SHOW,1193.0,7.3,1
322,Olivia Colman,MOVIE,195738.0,7.033333333333334,3
322,Olivia Colman,SHOW,202389.0,8.0,3
323,Miles Jupp,MOVIE,620154.0,7.6,1
323,Miles Jupp,SHOW,6043.0,7.2,1
326,Alexander Armstrong,SHOW,579.0,7.2,1
330,Toru Okawa,MOVIE,0.0,,1
330,Toru Okawa,SHOW,12078.0,6.779999999999999,5
335,Jordana Brewster,MOVIE,72366.0,5.8,1
337,Gia Mantegna,MOVIE,83551.0,5.800000000000001,2
338,Miki Nagasawa,MOVIE,51938.0,8.0,1
338,Miki Nagasawa,SHOW,64727.0,8.5,1
339,Shin-ichiro Miki,MOVIE,25314.0,6.7,7
339,Shin-ichiro Miki,SHOW,15865.0,8.2,2
340,Megumi Ogata,MOVIE,51938.0,8.0,1
340,Megumi Ogata,SHOW,93126.0,7.574999999999999,4
345,Ken Narita,MOVIE,6602.0,7.333333333333333,3
345,Ken Narita,SHOW,5868.0,6.949999999999999,2
348,Akio Otsuka,MOVIE,22923.0,7.220000000000001,6
348,Akio Otsuka,SHOW,23756.0,7.1,5
351,Song Ji-hyo,SHOW,870.0,7.1,1
353,Hwang Jung-eum,SHOW,1977.0,8.0,1
354,Marta Hazas,MOVIE,19069.0,6.15,2
354,Marta Hazas,SHOW,7394.0,7.699999999999999,2
359,Marcial Álvarez,SHOW,1994.0,7.0,1
360,Isak Férriz,MOVIE,18840.0,6.2,1
360,Isak Férriz,SHOW,1532.0,5.7,1
363,Javier Rey,MOVIE,11983.0,5.699999999999999,2
363,Javier Rey,SHOW,11090.0,7.766666666666667,4
364,Alicia Sanz,MOVIE,10376.0,4.7,2
366,Laia Costa,MOVIE,27902.0,5.7,3
367,Belén Cuesta,MOVIE,21388.0,6.15,4
367,Belén Cuesta,SHOW,453884.0,8.15,2
372,Han Hye-jin,MOVIE,1178.0,6.3,1
373,Cha Hwa-yeon,SHOW,0.0,,1
375,Yu Kobayashi,MOVIE,1826.0,7.2,1
375,Yu Kobayashi,SHOW,12460.0,7.15,2
376,Mai Fuchigami,SHOW,188.0,6.3,1
378,Koji Yusa,MOVIE,481.0,6.75,2
378,Koji Yusa,SHOW,14278.0,7.114285714285714,7
380,Mariya Ise,MOVIE,7687.0,6.7,3
380,Mariya Ise,SHOW,133512.0,7.566666666666666,6
381,Fumihiko Tachiki,MOVIE,63297.0,7.65,4
381,Fumihiko Tachiki,SHOW,64727.0,8.5,1
382,Katsuyuki Konishi,MOVIE,8583.0,7.1000000000000005,3
382,Katsuyuki Konishi,SHOW,123667.0,7.5,7
383,Kim Hee-jung,SHOW,10910.0,7.85,3
388,Romi Park,MOVIE,12209.0,7.075,4
388,Romi Park,SHOW,113503.0,7.514285714285714,7
389,Nana Mizuki,MOVIE,10167.0,6.9,4
389,Nana Mizuki,SHOW,95460.0,7.7,3
392,Danny John-Jules,MOVIE,272757.0,6.9,2
395,Jun Fukuyama,MOVIE,9216.0,7.233333333333333,3
395,Jun Fukuyama,SHOW,130603.0,7.611111111111111,9
396,Aoi Yuki,MOVIE,84284.0,7.533333333333334,3
396,Aoi Yuki,SHOW,233394.0,8.033333333333333,7
403,Moon Bloodgood,MOVIE,357557.0,6.5,1
404,Jim Meskimen,MOVIE,999.0,5.9,2
405,Cam Clarke,MOVIE,252051.0,6.2,1
409,Brittany Daniel,SHOW,4417.0,6.6,1
416,Tsubasa Yonaga,MOVIE,4865.0,6.9,2
417,Mitsuru Ogata,SHOW,13057.0,7.6,2
425,Kang Shin-il,MOVIE,7304.0,6.6,1
425,Kang Shin-il,SHOW,6855.0,8.7,1
430,Jung Ae-ri,SHOW,2835.0,8.6,2
434,Satsuki Yukino,MOVIE,86012.0,7.433333333333334,6
434,Satsuki Yukino,SHOW,16211.0,7.0,2
435,Britt McKillip,MOVIE,157.0,5.566666666666666,4
435,Britt McKillip,SHOW,14552.0,6.675,4
436,Chiara Zanni,MOVIE,89755.0,5.6,1
439,Sam Vincent,MOVIE,32.0,5.7,2
439,Sam Vincent,SHOW,960.0,5.35,2
450,Akeno Watanabe,SHOW,12741.0,7.5,1
452,Miyuki Sawashiro,MOVIE,13958.0,7.25,2
452,Miyuki Sawashiro,SHOW,240994.0,7.457142857142856,8
457,Oh Man-seok,MOVIE,616.0,6.1,1
457,Oh Man-seok,SHOW,0.0,,1
459,Kim Min-jong,SHOW,7544.0,8.2,1
460,Shin Sung-rok,SHOW,7544.0,8.2,1
461,Yukana,MOVIE,2127.0,7.3,1
461,Yukana,SHOW,88191.0,7.966666666666666,3
462,Tomokazu Seki,MOVIE,13976.0,7.3999999999999995,3
462,Tomokazu Seki,SHOW,22720.0,7.1,4
463,Tim Matheson,MOVIE,4087.0,5.9,1
463,Tim Matheson,SHOW,34797.0,7.4,1
464,Patrick Breen,MOVIE,49090.0,5.4,2
467,Alan Blumenfeld,MOVIE,353871.0,6.449999999999999,2
474,Panou,MOVIE,32837.0,5.6,1
480,Chris Wallace,MOVIE,38301.0,6.8,1
489,Kang Hye-jung,MOVIE,3575.0,6.1,1
492,Janeane Garofalo,MOVIE,24437.0,5.9,4
492,Janeane Garofalo,SHOW,32176.0,7.15,2
493,Courtney Taylor Burness,MOVIE,78119.0,5.9,1
496,Geoff Pierson,MOVIE,38647.0,5.7,1
497,Jolina Magdangal,MOVIE,26.0,5.8,1
504,Julia Davis,MOVIE,661072.0,7.366666666666667,3
515,Stephan Kampwirth,MOVIE,55044.0,7.5,1
522,René Auberjonois,MOVIE,270231.0,7.2,1
522,René Auberjonois,SHOW,61145.0,8.1,1
523,April Winchell,MOVIE,100705.0,6.6,1
524,Jeff Bennett,MOVIE,64390.0,5.5,5
524,Jeff Bennett,SHOW,3482.0,6.966666666666666,3
525,Jason Marsden,MOVIE,143998.0,6.1,1
525,Jason Marsden,SHOW,3414.0,5.85,2
526,Charlie Adler,MOVIE,4169.0,4.65,2
526,Charlie Adler,SHOW,345.0,7.300000000000001,2
527,Dan Castellaneta,MOVIE,85110.0,5.75,2
528,Jim Cummings,MOVIE,67529.0,5.9,3
529,Frank Welker,MOVIE,854960.0,5.2444444444444445,9
529,Frank Welker,SHOW,24634.0,7.175,4
531,Brad Garrett,MOVIE,582.0,5.2,1
536,Chandra West,MOVIE,146625.0,5.9,1
538,Adam Butcher,MOVIE,38463.0,6.3,1
539,Sunnyi Melles,MOVIE,4255.0,6.6,1
539,Sunnyi Melles,SHOW,493.0,7.3,1
541,Lars Mikkelsen,SHOW,521614.0,8.0,3
544,Nadeshda Brennicke,MOVIE,3900.0,4.6,1
545,Veerle Baetens,SHOW,10161.0,8.0,1
564,Cristina do Rego,SHOW,0.0,,1
568,Hans Martin Stier,MOVIE,984.0,6.5,1
576,Götz Schubert,MOVIE,9273.0,6.9,1
582,Rita Feldmeier,MOVIE,5809.0,5.4,1
594,Winnie Böwe,MOVIE,457.0,4.0,1
601,Tom Schilling,MOVIE,55044.0,7.5,1
602,Wotan Wilke Möhring,MOVIE,64500.0,6.533333333333334,3
602,Wotan Wilke Möhring,SHOW,8536.0,7.1,1
614,Heston Blumenthal,SHOW,15.0,8.9,1
622,Lucas Gregorowicz,MOVIE,3647.0,6.7,1
623,Julia Hartmann,MOVIE,4905.0,5.9,1
631,Oliver Schmitz,MOVIE,3460.0,6.8,1
633,Karoline Eichhorn,SHOW,354443.0,8.7,1
638,Herbert Ballerina,MOVIE,564.0,2.7,1
642,Eva Löbau,MOVIE,265505.0,6.1,2
656,Matthias Klimsa,MOVIE,533.0,3.8,1
658,Torsten Michaelis,MOVIE,264126.0,6.15,2
662,Florian Fitz,MOVIE,52338.0,7.1,1
668,Eisi Gulp,SHOW,2119.0,6.8,1
712,Annabelle Mandeng,MOVIE,259696.0,6.8,1
719,Navid Navid,MOVIE,38.0,7.9,1
724,Richy Müller,SHOW,2627.0,7.5,1
727,Hinnerk Schönemann,MOVIE,4430.0,5.5,1
731,Natalie Portman,MOVIE,589854.0,7.0,4
732,Joel Edgerton,MOVIE,882899.0,7.140000000000001,5
732,Joel Edgerton,SHOW,41867.0,7.5,1
733,Ewan McGregor,MOVIE,567067.0,7.1,2
733,Ewan McGregor,SHOW,14040.0,7.5,1
734,Rodrigo Santoro,MOVIE,564593.0,6.8999999999999995,3
735,Noah Emmerich,MOVIE,612566.0,7.3,2
735,Noah Emmerich,SHOW,40535.0,7.9,1
738,Boyd Holbrook,MOVIE,209937.0,5.75,4
739,James Burnett,MOVIE,1208.0,4.0,1
740,Sam Quinn,MOVIE,1208.0,4.0,1
743,Boots Southerland,MOVIE,358765.0,5.25,2
744,Nash Edgerton,MOVIE,89912.0,6.1,1
747,Anthony Tambakis,MOVIE,463276.0,8.2,1
755,Mary Regency Boies,MOVIE,697481.0,7.7,1
774,Joe Anoa'i,MOVIE,38647.0,5.7,1
798,Carmen-Maja Antoni,SHOW,0.0,,1
800,Ettore Ewen,MOVIE,394.0,4.3,1
801,Kofi Sarkodie-Mensah,MOVIE,2673.0,4.55,2
802,Austin Watson,MOVIE,394.0,4.3,1
810,Paul Wight,SHOW,2588.0,5.85,2
823,Salma Hayek,MOVIE,876697.0,6.7,6
826,Vincent Cassel,MOVIE,4246.0,6.3,1
829,Toby Jones,MOVIE,132469.0,5.666666666666667,3
829,Toby Jones,SHOW,24164.0,8.4,1
832,Shirley Henderson,MOVIE,116305.0,7.3,1
834,Margit Bendokat,MOVIE,26781.0,6.8,1
845,Jonah Lees,SHOW,7376.0,5.9,1
851,Ryan McParland,MOVIE,5396.0,6.8,1
852,Alba Rohrwacher,MOVIE,74366.0,7.1,2
889,Benjamin Walker,MOVIE,51499.0,5.949999999999999,2
890,Teresa Palmer,MOVIE,44778.0,6.533333333333334,3
893,Alexandra Daddario,MOVIE,255793.0,5.533333333333334,6
895,Tom Wilkinson,MOVIE,482526.0,6.1,4
895,Tom Wilkinson,SHOW,6043.0,7.2,1
