index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,genre_split,country
1429,ts52943,The Sound of Your Heart,SHOW,2016,,24,"['drama', 'comedy']",['KR'],2.0,tt4613520,8.2,1075.0,comedy,KR
1430,ts21979,Spotless,SHOW,2015,TV-MA,58,"['drama', 'comedy', 'crime', 'european']",['FR'],1.0,tt10800582,7.7,3635.0,drama,FR
1430,ts21979,Spotless,SHOW,2015,TV-MA,58,"['drama', 'comedy', 'crime', 'european']",['FR'],1.0,tt10800582,7.7,3635.0,comedy,FR
1430,ts21979,Spotless,SHOW,2015,TV-MA,58,"['drama', 'comedy', 'crime', 'european']",['FR'],1.0,tt10800582,7.7,3635.0,crime,FR
1430,ts21979,Spotless,SHOW,2015,TV-MA,58,"['drama', 'comedy', 'crime', 'european']",['FR'],1.0,tt10800582,7.7,3635.0,european,FR
1433,ts36547,Club de Cuervos,SHOW,2015,TV-MA,44,"['comedy', 'drama']",['MX'],4.0,tt4680240,8.2,5514.0,comedy,MX
1433,ts36547,Club de Cuervos,SHOW,2015,TV-MA,44,"['comedy', 'drama']",['MX'],4.0,tt4680240,8.2,5514.0,drama,MX
1434,ts84398,Little Things,SHOW,2016,TV-MA,25,"['comedy', 'drama', 'romance']",['IN'],4.0,tt6522580,8.2,6461.0,comedy,IN
1434,ts84398,Little Things,SHOW,2016,TV-MA,25,"['comedy', 'drama', 'romance']",['IN'],4.0,tt6522580,8.2,6461.0,drama,IN
1434,ts84398,Little Things,SHOW,2016,TV-MA,25,"['comedy', 'drama', 'romance']",['IN'],4.0,tt6522580,8.2,6461.0,romance,IN
1435,ts77654,Care Bears and Cousins,SHOW,2015,TV-Y,23,['animation'],['US'],2.0,tt4680360,6.8,82.0,animation,US
1439,ts39014,Kuromukuro,SHOW,2016,TV-14,24,"['comedy', 'drama', 'action', 'scifi', 'animation']",['JP'],2.0,tt5895314,7.2,1265.0,comedy,JP
1439,ts39014,Kuromukuro,SHOW,2016,TV-14,24,"['comedy', 'drama', 'action', 'scifi', 'animation']",['JP'],2.0,tt5895314,7.2,1265.0,drama,JP
1439,ts39014,Kuromukuro,SHOW,2016,TV-14,24,"['comedy', 'drama', 'action', 'scifi', 'animation']",['JP'],2.0,tt5895314,7.2,1265.0,action,JP
1439,ts39014,Kuromukuro,SHOW,2016,TV-14,24,"['comedy', 'drama', 'action', 'scifi', 'animation']",['JP'],2.0,tt5895314,7.2,1265.0,scifi,JP
1439,ts39014,Kuromukuro,SHOW,2016,TV-14,24,"['comedy', 'drama', 'action', 'scifi', 'animation']",['JP'],2.0,tt5895314,7.2,1265.0,animation,JP
1441,ts38764,Marseille,SHOW,2016,TV-MA,46,"['drama', 'european']",['FR'],2.0,tt4003966,6.9,5083.0,drama,FR
1441,ts38764,Marseille,SHOW,2016,TV-MA,46,"['drama', 'european']",['FR'],2.0,tt4003966,6.9,5083.0,european,FR
1442,ts54110,Puffin Rock,SHOW,2015,TV-Y,11,"['animation', 'family', 'comedy', 'european']",['IE'],2.0,tt3590338,8.7,891.0,animation,IE
1442,ts54110,Puffin Rock,SHOW,2015,TV-Y,11,"['animation', 'family', 'comedy', 'european']",['IE'],2.0,tt3590338,8.7,891.0,family,IE
1442,ts54110,Puffin Rock,SHOW,2015,TV-Y,11,"['animation', 'family', 'comedy', 'european']",['IE'],2.0,tt3590338,8.7,891.0,comedy,IE
1442,ts54110,Puffin Rock,SHOW,2015,TV-Y,11,"['animation', 'family', 'comedy', 'european']",['IE'],2.0,tt3590338,8.7,891.0,european,IE
1443,ts54156,Chef's Table: France,SHOW,2016,TV-14,60,['documentation'],['US'],1.0,tt6088326,8.2,1723.0,documentation,US
1446,ts38230,The Method,SHOW,2015,TV-MA,51,"['drama', 'thriller', 'crime']",['RU'],2.0,tt5135336,7.4,2784.0,drama,RU
1446,ts38230,The Method,SHOW,2015,TV-MA,51,"['drama', 'thriller', 'crime']",['RU'],2.0,tt5135336,7.4,2784.0,thriller,RU
1446,ts38230,The Method,SHOW,2015,TV-MA,51,"['drama', 'thriller', 'crime']",['RU'],2.0,tt5135336,7.4,2784.0,crime,RU
1447,ts51368,Skylanders Academy,SHOW,2016,TV-Y7,23,"['action', 'animation', 'comedy', 'family', 'fantasy']",['US'],3.0,tt5916218,6.7,730.0,action,US
1447,ts51368,Skylanders Academy,SHOW,2016,TV-Y7,23,"['action', 'animation', 'comedy', 'family', 'fantasy']",['US'],3.0,tt5916218,6.7,730.0,animation,US
1447,ts51368,Skylanders Academy,SHOW,2016,TV-Y7,23,"['action', 'animation', 'comedy', 'family', 'fantasy']",['US'],3.0,tt5916218,6.7,730.0,comedy,US
1447,ts51368,Skylanders Academy,SHOW,2016,TV-Y7,23,"['action', 'animation', 'comedy', 'family', 'fantasy']",['US'],3.0,tt5916218,6.7,730.0,family,US
1447,ts51368,Skylanders Academy,SHOW,2016,TV-Y7,23,"['action', 'animation', 'comedy', 'family', 'fantasy']",['US'],3.0,tt5916218,6.7,730.0,fantasy,US
1462,ts66540,"Can't Cope, Won't Cope",SHOW,2016,TV-MA,23,"['drama', 'comedy', 'european']",['IE'],2.0,tt5674872,7.3,880.0,drama,IE
1462,ts66540,"Can't Cope, Won't Cope",SHOW,2016,TV-MA,23,"['drama', 'comedy', 'european']",['IE'],2.0,tt5674872,7.3,880.0,comedy,IE
1462,ts66540,"Can't Cope, Won't Cope",SHOW,2016,TV-MA,23,"['drama', 'comedy', 'european']",['IE'],2.0,tt5674872,7.3,880.0,european,IE
1465,ts75829,Lego Bionicle: The Journey to One,SHOW,2016,TV-Y7,17,"['animation', 'action', 'fantasy', 'scifi']",['US'],2.0,tt5075942,5.5,170.0,animation,US
1465,ts75829,Lego Bionicle: The Journey to One,SHOW,2016,TV-Y7,17,"['animation', 'action', 'fantasy', 'scifi']",['US'],2.0,tt5075942,5.5,170.0,action,US
1465,ts75829,Lego Bionicle: The Journey to One,SHOW,2016,TV-Y7,17,"['animation', 'action', 'fantasy', 'scifi']",['US'],2.0,tt5075942,5.5,170.0,fantasy,US
1465,ts75829,Lego Bionicle: The Journey to One,SHOW,2016,TV-Y7,17,"['animation', 'action', 'fantasy', 'scifi']",['US'],2.0,tt5075942,5.5,170.0,scifi,US
1466,ts56674,The Mr. Peabody & Sherman Show,SHOW,2015,,23,"['comedy', 'scifi', 'animation', 'family', 'history']",['US'],4.0,tt5021206,5.7,433.0,comedy,US
1466,ts56674,The Mr. Peabody & Sherman Show,SHOW,2015,,23,"['comedy', 'scifi', 'animation', 'family', 'history']",['US'],4.0,tt5021206,5.7,433.0,scifi,US
1466,ts56674,The Mr. Peabody & Sherman Show,SHOW,2015,,23,"['comedy', 'scifi', 'animation', 'family', 'history']",['US'],4.0,tt5021206,5.7,433.0,animation,US
1466,ts56674,The Mr. Peabody & Sherman Show,SHOW,2015,,23,"['comedy', 'scifi', 'animation', 'family', 'history']",['US'],4.0,tt5021206,5.7,433.0,family,US
1466,ts56674,The Mr. Peabody & Sherman Show,SHOW,2015,,23,"['comedy', 'scifi', 'animation', 'family', 'history']",['US'],4.0,tt5021206,5.7,433.0,history,US
1468,ts35360,Inspector Gadget,SHOW,2015,TV-Y,21,"['action', 'comedy', 'family', 'scifi', 'animation']","['CA', 'US']",4.0,tt3910690,4.5,614.0,action,CA
1468,ts35360,Inspector Gadget,SHOW,2015,TV-Y,21,"['action', 'comedy', 'family', 'scifi', 'animation']","['CA', 'US']",4.0,tt3910690,4.5,614.0,action,US
1468,ts35360,Inspector Gadget,SHOW,2015,TV-Y,21,"['action', 'comedy', 'family', 'scifi', 'animation']","['CA', 'US']",4.0,tt3910690,4.5,614.0,comedy,CA
1468,ts35360,Inspector Gadget,SHOW,2015,TV-Y,21,"['action', 'comedy', 'family', 'scifi', 'animation']","['CA', 'US']",4.0,tt3910690,4.5,614.0,comedy,US
1468,ts35360,Inspector Gadget,SHOW,2015,TV-Y,21,"['action', 'comedy', 'family', 'scifi', 'animation']","['CA', 'US']",4.0,tt3910690,4.5,614.0,family,CA
1468,ts35360,Inspector Gadget,SHOW,2015,TV-Y,21,"['action', 'comedy', 'family', 'scifi', 'animation']","['CA', 'US']",4.0,tt3910690,4.5,614.0,family,US
1468,ts35360,Inspector Gadget,SHOW,2015,TV-Y,21,"['action', 'comedy', 'family', 'scifi', 'animation']","['CA', 'US']",4.0,tt3910690,4.5,614.0,scifi,CA
1468,ts35360,Inspector Gadget,SHOW,2015,TV-Y,21,"['action', 'comedy', 'family', 'scifi', 'animation']","['CA', 'US']",4.0,tt3910690,4.5,614.0,scifi,US
1468,ts35360,Inspector Gadget,SHOW,2015,TV-Y,21,"['action', 'comedy', 'family', 'scifi', 'animation']","['CA', 'US']",4.0,tt3910690,4.5,614.0,animation,CA
1468,ts35360,Inspector Gadget,SHOW,2015,TV-Y,21,"['action', 'comedy', 'family', 'scifi', 'animation']","['CA', 'US']",4.0,tt3910690,4.5,614.0,animation,US
1470,ts35359,Heidi,SHOW,2015,TV-Y,27,"['drama', 'family', 'animation', 'european']","['DE', 'AU', 'FR']",2.0,tt4346362,7.2,234.0,drama,DE
1470,ts35359,Heidi,SHOW,2015,TV-Y,27,"['drama', 'family', 'animation', 'european']","['DE', 'AU', 'FR']",2.0,tt4346362,7.2,234.0,drama,AU
1470,ts35359,Heidi,SHOW,2015,TV-Y,27,"['drama', 'family', 'animation', 'european']","['DE', 'AU', 'FR']",2.0,tt4346362,7.2,234.0,drama,FR
1470,ts35359,Heidi,SHOW,2015,TV-Y,27,"['drama', 'family', 'animation', 'european']","['DE', 'AU', 'FR']",2.0,tt4346362,7.2,234.0,family,DE
1470,ts35359,Heidi,SHOW,2015,TV-Y,27,"['drama', 'family', 'animation', 'european']","['DE', 'AU', 'FR']",2.0,tt4346362,7.2,234.0,family,AU
1470,ts35359,Heidi,SHOW,2015,TV-Y,27,"['drama', 'family', 'animation', 'european']","['DE', 'AU', 'FR']",2.0,tt4346362,7.2,234.0,family,FR
1470,ts35359,Heidi,SHOW,2015,TV-Y,27,"['drama', 'family', 'animation', 'european']","['DE', 'AU', 'FR']",2.0,tt4346362,7.2,234.0,animation,DE
1470,ts35359,Heidi,SHOW,2015,TV-Y,27,"['drama', 'family', 'animation', 'european']","['DE', 'AU', 'FR']",2.0,tt4346362,7.2,234.0,animation,AU
